project_id,project_name,project_category,status,start_date,end_date
1,Digital Transformation,IT,In Progress,2023-01-15,2023-12-31
2,Market Expansion,Strategy,In Progress,2023-02-01,2023-10-31
3,Product Launch,Marketing,Completed,2023-01-01,2023-04-30
4,Cost Reduction,Operations,In Progress,2023-03-15,2023-09-30
5,Supply Chain Optimization,Operations,Planned,2023-06-01,2024-02-28
6,Customer Experience,Sales,In Progress,2023-02-15,2023-08-31
7,New ERP Implementation,IT,Planned,2023-07-01,2024-06-30
8,Compliance Initiative,Legal,In Progress,2023-01-10,2023-12-15
9,Sustainability Program,Corporate,Planned,2023-09-01,2024-08-31
10,R&D Innovation,Research,In Progress,2023-01-01,2023-12-31
